combo_idx,total_pnl_sum,avg_win_rate,runs,thresholds_json
1,130713.66563577176,0.5,8,"[[0.8, 0.08], [0.5, 0.11], [0.0, 0.16]]"
2,130713.66563577176,0.5,8,"[[0.8, 0.08], [0.5, 0.11], [0.0, 0.18]]"
3,130713.66563577176,0.5,8,"[[0.8, 0.08], [0.5, 0.11], [0.0, 0.2]]"
4,130713.66563577176,0.5,8,"[[0.8, 0.08], [0.5, 0.12], [0.0, 0.16]]"
5,130713.66563577176,0.5,8,"[[0.8, 0.08], [0.5, 0.12], [0.0, 0.18]]"
6,130713.66563577176,0.5,8,"[[0.8, 0.08], [0.5, 0.12], [0.0, 0.2]]"
7,130713.66563577176,0.5,8,"[[0.8, 0.08], [0.5, 0.14], [0.0, 0.16]]"
8,130713.66563577176,0.5,8,"[[0.8, 0.08], [0.5, 0.14], [0.0, 0.18]]"
9,130713.66563577176,0.5,8,"[[0.8, 0.08], [0.5, 0.14], [0.0, 0.2]]"
10,130713.66563577176,0.5,8,"[[0.8, 0.09], [0.5, 0.11], [0.0, 0.16]]"
11,130713.66563577176,0.5,8,"[[0.8, 0.09], [0.5, 0.11], [0.0, 0.18]]"
12,130713.66563577176,0.5,8,"[[0.8, 0.09], [0.5, 0.11], [0.0, 0.2]]"
13,130713.66563577176,0.5,8,"[[0.8, 0.09], [0.5, 0.12], [0.0, 0.16]]"
14,130713.66563577176,0.5,8,"[[0.8, 0.09], [0.5, 0.12], [0.0, 0.18]]"
15,130713.66563577176,0.5,8,"[[0.8, 0.09], [0.5, 0.12], [0.0, 0.2]]"
16,130713.66563577176,0.5,8,"[[0.8, 0.09], [0.5, 0.14], [0.0, 0.16]]"
17,130713.66563577176,0.5,8,"[[0.8, 0.09], [0.5, 0.14], [0.0, 0.18]]"
18,130713.66563577176,0.5,8,"[[0.8, 0.09], [0.5, 0.14], [0.0, 0.2]]"
19,130713.66563577176,0.5,8,"[[0.8, 0.1], [0.5, 0.11], [0.0, 0.16]]"
20,130713.66563577176,0.5,8,"[[0.8, 0.1], [0.5, 0.11], [0.0, 0.18]]"
21,130713.66563577176,0.5,8,"[[0.8, 0.1], [0.5, 0.11], [0.0, 0.2]]"
22,130713.66563577176,0.5,8,"[[0.8, 0.1], [0.5, 0.12], [0.0, 0.16]]"
23,130713.66563577176,0.5,8,"[[0.8, 0.1], [0.5, 0.12], [0.0, 0.18]]"
24,130713.66563577176,0.5,8,"[[0.8, 0.1], [0.5, 0.12], [0.0, 0.2]]"
25,130713.66563577176,0.5,8,"[[0.8, 0.1], [0.5, 0.14], [0.0, 0.16]]"
26,130713.66563577176,0.5,8,"[[0.8, 0.1], [0.5, 0.14], [0.0, 0.18]]"
27,130713.66563577176,0.5,8,"[[0.8, 0.1], [0.5, 0.14], [0.0, 0.2]]"
