entry_index,entry_price,num_trades,sl_hits,total_pnl
10,68879.05542217,974,0,902539803.7059376
14,76576.26863251,970,0,909112538.3332912
15,80405.08206414,968,0,912426133.8648076
16,84425.33616734,966,0,915758060.3757569
21,107750.49995825,956,0,932697490.7856601
27,144395.97526921,944,0,953659160.2028928
32,184289.9209353,934,0,971677594.3361527
33,193504.41698206,932,0,975343175.2043874
46,364881.43791798,906,0,1024967742.1162232
63,836314.9395336,872,0,1095860206.4939597
69,1120742.00465854,860,0,1122667300.7811015
71,1235618.06013604,856,0,1131824533.126491
73,1362268.91129998,852,0,1141095624.3304925
77,1655846.37586583,844,0,1159987077.4989033
79,1825570.62939207,840,0,1169611388.248932
81,2012691.61890476,836,0,1179357457.4118874
87,2697199.26441675,824,0,1209347244.066598
95,3984991.73619638,808,0,1251169671.3154817
97,4393453.38915651,804,0,1261968572.200045
100,5085971.4796223,798,0,1278434283.8589294
113,9590357.75843024,772,0,1353696791.63693
116,11102037.90010281,766,0,1372020142.1261406
127,18988252.37584483,744,0,1442529705.397535
128,19937664.99463707,742,0,1449210792.218098
138,32476355.38025302,722,0,1518681186.7134504
142,39475212.94191868,714,0,1547888027.1633027
143,41448973.58901461,712,0,1555322430.1766133
147,50381486.45353221,704,0,1585605985.6563346
152,64300962.2519867,694,0,1624728070.4766212
156,78158221.49830392,686,0,1657082090.07481
157,82066132.57321912,684,0,1665321972.8425684
162,104739491.90888026,674,0,1707458579.592364
163,109976466.50432429,672,0,1716077484.9633949
170,154747932.50047567,658,0,1778271827.0479553
174,188097079.12890634,650,0,1815329723.8053634
176,207377029.73961926,646,0,1834289446.3665893
177,217745881.22660023,644,0,1843879293.6430862
179,240064834.05232677,640,0,1863282269.241946
183,291800306.1958161,632,0,1903000027.8982587
191,431121950.88832384,616,0,1986233416.2627928
194,499077548.3970959,610,0,2018806952.8152623
197,577744646.9631883,604,0,2052150768.8674607
202,737364840.752189,594,0,2109482648.0971906
205,853591973.775753,588,0,2144964122.8486211
209,1037546379.074264,580,0,2193567469.1516566
221,1863284228.4018717,556,0,2348534543.1946926
222,1956448439.8219655,554,0,2362080379.1787834
228,2621828025.3129992,542,0,2445410375.4481997
231,3035093667.8029613,536,0,2488387736.3305755
242,5191040155.613007,514,0,2653143950.126237
249,7304314796.988629,500,0,2763261735.714881
257,10791799659.959856,484,0,2892821261.360668
260,12492857081.36103,478,0,2942014731.2430115
261,13117499935.429083,476,0,2958441494.804939
264,15185145862.751093,470,0,3007710281.795053
274,24735002502.66696,450,0,3169056847.314028
276,27270340259.19033,446,0,3200107049.8603415
281,34804632475.9061,436,0,3274459665.064725
283,38372107304.68647,432,0,3302485525.8638253
284,40290712669.92079,430,0,3316042756.4370275
290,53993408406.635315,418,0,3389339285.022701
293,62504119406.73122,412,0,3419423193.899007
294,65629325377.06778,410,0,3428241705.9063654
298,79772855179.10951,402,0,3456339663.2924924
302,96964404050.55249,394,0,3470593421.775794
304,106903255465.73413,390,0,3471400331.810889
310,143260586618.25104,378,0,3441943722.6862373
311,150423615949.1636,376,0,3431541072.2489314
316,191982887600.49847,366,0,3350266776.835373
318,211661133579.5496,362,0,3302000718.698785
319,222244190258.52707,360,0,3273990253.837438
322,257275430748.02744,354,0,3172737899.915065
325,297828470519.6853,348,0,3042321300.6072474
327,328355888747.95306,344,0,2936821108.14711
334,462029709838.9136,330,0,2424097262.359299
337,534857142852.27234,324,0,2120956502.9646494
339,589679999994.6304,320,0,1885155285.5373585
346,829738977224.3821,306,0,801201525.1055938
352,1000000000000.0,0,0,0
355,1000000000000.0,0,0,0
366,1000000000000.0,0,0,0
369,1000000000000.0,0,0,0
371,1000000000000.0,0,0,0
374,1000000000000.0,0,0,0
378,1000000000000.0,0,0,0
382,1000000000000.0,0,0,0
392,1000000000000.0,0,0,0
396,1000000000000.0,0,0,0
407,1000000000000.0,0,0,0
411,1000000000000.0,0,0,0
412,1000000000000.0,0,0,0
416,1000000000000.0,0,0,0
417,1000000000000.0,0,0,0
420,1000000000000.0,0,0,0
422,1000000000000.0,0,0,0
432,1000000000000.0,0,0,0
434,1000000000000.0,0,0,0
435,1000000000000.0,0,0,0
436,1000000000000.0,0,0,0
438,1000000000000.0,0,0,0
