entry_index,entry_price,num_trades,sl_hits,total_pnl
4,69037.35,976,0,725.7012874168375
12,70916.6503714,972,0,720.9699515330831
14,73044.14988254,968,0,714.3632523200575
21,79817.3147687,956,0,691.422437122447
24,84678.18923811,948,0,673.3124529190846
30,92530.14369159,936,0,641.4557564864047
34,98165.22944241,928,0,616.7917667662437
36,101110.18632568,924,0,603.3494814088841
40,107267.79667291,916,0,574.0967171798948
41,107267.79667291,916,0,574.0967171798948
54,131925.85972973,888,0,443.3864459135182
56,135883.63552162,884,0,420.63125225095746
59,139960.14458727,880,0,396.7349393463327
81,193737.57268919,836,0,44.747567146644236
82,199549.69986986,0,0,0
84,200000.0,0,0,0
87,200000.0,0,0,0
88,200000.0,0,0,0
90,200000.0,0,0,0
96,200000.0,0,0,0
97,200000.0,0,0,0
99,200000.0,0,0,0
103,200000.0,0,0,0
104,200000.0,0,0,0
108,200000.0,0,0,0
110,200000.0,0,0,0
112,200000.0,0,0,0
119,200000.0,0,0,0
125,200000.0,0,0,0
126,200000.0,0,0,0
129,200000.0,0,0,0
138,200000.0,0,0,0
139,200000.0,0,0,0
141,200000.0,0,0,0
146,200000.0,0,0,0
153,200000.0,0,0,0
155,200000.0,0,0,0
161,200000.0,0,0,0
174,200000.0,0,0,0
176,200000.0,0,0,0
177,200000.0,0,0,0
182,200000.0,0,0,0
183,200000.0,0,0,0
184,200000.0,0,0,0
186,200000.0,0,0,0
195,200000.0,0,0,0
202,200000.0,0,0,0
203,200000.0,0,0,0
210,200000.0,0,0,0
211,200000.0,0,0,0
221,200000.0,0,0,0
224,200000.0,0,0,0
236,200000.0,0,0,0
242,200000.0,0,0,0
244,200000.0,0,0,0
249,200000.0,0,0,0
258,200000.0,0,0,0
259,200000.0,0,0,0
266,200000.0,0,0,0
267,200000.0,0,0,0
272,200000.0,0,0,0
277,200000.0,0,0,0
279,200000.0,0,0,0
283,200000.0,0,0,0
288,200000.0,0,0,0
289,200000.0,0,0,0
305,200000.0,0,0,0
307,200000.0,0,0,0
315,200000.0,0,0,0
316,200000.0,0,0,0
319,200000.0,0,0,0
325,200000.0,0,0,0
329,200000.0,0,0,0
331,200000.0,0,0,0
333,200000.0,0,0,0
340,200000.0,0,0,0
352,200000.0,0,0,0
354,200000.0,0,0,0
356,200000.0,0,0,0
358,200000.0,0,0,0
365,200000.0,0,0,0
367,200000.0,0,0,0
373,200000.0,0,0,0
374,200000.0,0,0,0
375,200000.0,0,0,0
381,200000.0,0,0,0
390,200000.0,0,0,0
393,200000.0,0,0,0
399,200000.0,0,0,0
404,200000.0,0,0,0
410,200000.0,0,0,0
411,200000.0,0,0,0
415,200000.0,0,0,0
418,200000.0,0,0,0
420,200000.0,0,0,0
422,200000.0,0,0,0
427,200000.0,0,0,0
431,200000.0,0,0,0
435,200000.0,0,0,0
436,200000.0,0,0,0
