entry_index,entry_price,num_trades,sl_hits,total_pnl
9,65599.10040206,978,0,5209.066342590713
10,68879.05542217,974,0,5252.120983056287
14,76576.26863251,970,0,5263.1163628126415
15,80405.08206414,968,0,5269.0198995656565
16,84425.33616734,966,0,5273.660476548155
19,97732.87978072,960,0,5279.203477730499
26,137519.97644687,946,0,5231.242871639054
29,159196.5627343,940,0,5177.309894428813
33,193504.41698206,932,0,5065.18687195149
39,259314.42563934,920,0,4787.697024689711
42,300188.86198075,914,0,4587.05458146804
54,539096.06678951,890,0,3183.7293332205486
57,624071.0843172,884,0,2628.5401564975587
60,722440.2889827,878,0,1963.6507623501518
61,758562.30343184,876,0,1714.6210387667481
63,836314.9395336,872,0,1171.126788757157
80,1000000.0,0,0,0
82,1000000.0,0,0,0
84,1000000.0,0,0,0
90,1000000.0,0,0,0
91,1000000.0,0,0,0
95,1000000.0,0,0,0
99,1000000.0,0,0,0
102,1000000.0,0,0,0
103,1000000.0,0,0,0
107,1000000.0,0,0,0
109,1000000.0,0,0,0
114,1000000.0,0,0,0
120,1000000.0,0,0,0
130,1000000.0,0,0,0
141,1000000.0,0,0,0
142,1000000.0,0,0,0
145,1000000.0,0,0,0
147,1000000.0,0,0,0
152,1000000.0,0,0,0
153,1000000.0,0,0,0
157,1000000.0,0,0,0
158,1000000.0,0,0,0
161,1000000.0,0,0,0
163,1000000.0,0,0,0
168,1000000.0,0,0,0
172,1000000.0,0,0,0
183,1000000.0,0,0,0
184,1000000.0,0,0,0
195,1000000.0,0,0,0
200,1000000.0,0,0,0
202,1000000.0,0,0,0
204,1000000.0,0,0,0
205,1000000.0,0,0,0
212,1000000.0,0,0,0
214,1000000.0,0,0,0
216,1000000.0,0,0,0
223,1000000.0,0,0,0
224,1000000.0,0,0,0
235,1000000.0,0,0,0
244,1000000.0,0,0,0
250,1000000.0,0,0,0
259,1000000.0,0,0,0
272,1000000.0,0,0,0
273,1000000.0,0,0,0
279,1000000.0,0,0,0
283,1000000.0,0,0,0
284,1000000.0,0,0,0
287,1000000.0,0,0,0
292,1000000.0,0,0,0
293,1000000.0,0,0,0
295,1000000.0,0,0,0
296,1000000.0,0,0,0
298,1000000.0,0,0,0
303,1000000.0,0,0,0
304,1000000.0,0,0,0
310,1000000.0,0,0,0
313,1000000.0,0,0,0
315,1000000.0,0,0,0
319,1000000.0,0,0,0
329,1000000.0,0,0,0
330,1000000.0,0,0,0
339,1000000.0,0,0,0
345,1000000.0,0,0,0
349,1000000.0,0,0,0
352,1000000.0,0,0,0
353,1000000.0,0,0,0
359,1000000.0,0,0,0
365,1000000.0,0,0,0
366,1000000.0,0,0,0
370,1000000.0,0,0,0
377,1000000.0,0,0,0
378,1000000.0,0,0,0
379,1000000.0,0,0,0
381,1000000.0,0,0,0
389,1000000.0,0,0,0
396,1000000.0,0,0,0
407,1000000.0,0,0,0
413,1000000.0,0,0,0
417,1000000.0,0,0,0
420,1000000.0,0,0,0
423,1000000.0,0,0,0
426,1000000.0,0,0,0
430,1000000.0,0,0,0
436,1000000.0,0,0,0
