entry_index,entry_price,num_trades,sl_hits,total_pnl
0,68025.36,981,0,1121.9528570857124
4,69037.35,976,0,1131.507091479531
8,68913.13869025,976,0,1132.4334804364603
9,66845.74452955,980,0,1134.1165762396045
10,68851.11686543,976,0,1132.8960496961959
18,77492.53861038,960,0,1123.9558904351156
27,87218.53491525,944,0,1107.6272965353453
28,89835.09096271,940,0,1102.2374863982348
33,95306.04800234,932,0,1089.7308233753774
34,98165.22944241,928,0,1082.5655164859947
40,107267.79667291,916,0,1057.1119391370264
49,120730.85018465,900,0,1012.8841180554346
51,124352.77569019,896,0,999.7853838801706
53,128083.3589609,892,0,985.8035167506899
54,131925.85972973,888,0,970.9031674626622
80,193737.57268919,836,0,674.9558399957242
84,205536.19086596,828,0,608.7413658190397
85,205536.19086596,828,0,608.7413658190397
90,224594.94523639,816,0,496.5220944683427
91,224594.94523639,816,0,496.5220944683427
92,231332.79359348,812,0,455.40794393836273
94,238272.77740128,808,0,412.3207874369887
95,238272.77740128,808,0,412.3207874369887
99,252783.58954502,800,0,319.92270846483916
104,276223.45345276,788,0,164.54721565499014
108,293045.46176803,780,0,48.757283186865315
110,300000.0,0,0,0
113,300000.0,0,0,0
114,300000.0,0,0,0
120,300000.0,0,0,0
123,300000.0,0,0,0
131,300000.0,0,0,0
133,300000.0,0,0,0
134,300000.0,0,0,0
140,300000.0,0,0,0
142,300000.0,0,0,0
145,300000.0,0,0,0
154,300000.0,0,0,0
155,300000.0,0,0,0
156,300000.0,0,0,0
157,300000.0,0,0,0
159,300000.0,0,0,0
160,300000.0,0,0,0
177,300000.0,0,0,0
179,300000.0,0,0,0
187,300000.0,0,0,0
189,300000.0,0,0,0
191,300000.0,0,0,0
194,300000.0,0,0,0
196,300000.0,0,0,0
201,300000.0,0,0,0
203,300000.0,0,0,0
205,300000.0,0,0,0
214,300000.0,0,0,0
218,300000.0,0,0,0
220,300000.0,0,0,0
225,300000.0,0,0,0
230,300000.0,0,0,0
238,300000.0,0,0,0
242,300000.0,0,0,0
248,300000.0,0,0,0
249,300000.0,0,0,0
257,300000.0,0,0,0
258,300000.0,0,0,0
262,300000.0,0,0,0
273,300000.0,0,0,0
278,300000.0,0,0,0
287,300000.0,0,0,0
289,300000.0,0,0,0
296,300000.0,0,0,0
305,300000.0,0,0,0
308,300000.0,0,0,0
311,300000.0,0,0,0
318,300000.0,0,0,0
322,300000.0,0,0,0
329,300000.0,0,0,0
336,300000.0,0,0,0
342,300000.0,0,0,0
348,300000.0,0,0,0
353,300000.0,0,0,0
365,300000.0,0,0,0
366,300000.0,0,0,0
368,300000.0,0,0,0
369,300000.0,0,0,0
373,300000.0,0,0,0
379,300000.0,0,0,0
384,300000.0,0,0,0
386,300000.0,0,0,0
391,300000.0,0,0,0
400,300000.0,0,0,0
408,300000.0,0,0,0
411,300000.0,0,0,0
415,300000.0,0,0,0
419,300000.0,0,0,0
420,300000.0,0,0,0
424,300000.0,0,0,0
425,300000.0,0,0,0
430,300000.0,0,0,0
436,300000.0,0,0,0
438,300000.0,0,0,0
