Loaded 500 price rows from bot_v2\tools\data\btc_sample.csv
Entry index: 0  entry_price: 68025.36  window [0:60]
index,price
0,68025.36000000
1,67984.22000000
2,68016.07000000
3,67999.09000000
4,68018.19000000
5,68001.01000000
6,68020.40000000
7,68012.99000000
8,67999.93000000
9,67975.66000000
10,67992.92000000
11,68006.74000000
12,68004.51000000
13,68059.46000000
14,68113.59000000
15,68145.35000000
16,68134.03000000
17,68117.54000000
18,68136.68000000
19,68128.40000000
20,68167.53000000
21,68130.25000000
22,68123.35000000
23,68121.34000000
24,68143.01000000
25,68197.80000000
26,68223.23000000
27,68222.06000000
28,68206.83000000
29,68225.18000000
30,68218.16000000
31,68216.17000000
32,68222.84000000
33,68222.36000000
34,68205.78000000
35,68210.24000000
36,68228.12000000
37,68207.93000000
38,68208.20000000
39,68198.11000000
40,68184.73000000
41,68133.81000000
42,68135.77000000
43,68094.38000000
44,68114.24000000
45,68110.47000000
46,68077.09000000
47,68067.51000000
48,68050.52000000
49,68068.35000000
50,68036.78000000
51,68041.36000000
52,67995.77000000
53,68001.61000000
54,67999.91000000
55,67990.68000000
56,67982.31000000
57,67975.45000000
58,67981.30000000
59,67983.56000000
60,68009.02000000
window_min: 67975.45000000  window_max: 68228.12000000

Entry index: 50  entry_price: 68036.78  window [30:110]
index,price
30,68218.16000000
31,68216.17000000
32,68222.84000000
33,68222.36000000
34,68205.78000000
35,68210.24000000
36,68228.12000000
37,68207.93000000
38,68208.20000000
39,68198.11000000
40,68184.73000000
41,68133.81000000
42,68135.77000000
43,68094.38000000
44,68114.24000000
45,68110.47000000
46,68077.09000000
47,68067.51000000
48,68050.52000000
49,68068.35000000
50,68036.78000000
51,68041.36000000
52,67995.77000000
53,68001.61000000
54,67999.91000000
55,67990.68000000
56,67982.31000000
57,67975.45000000
58,67981.30000000
59,67983.56000000
60,68009.02000000
61,68033.54000000
62,68000.00000000
63,67966.60000000
64,67953.58000000
65,67987.23000000
66,67991.87000000
