Entry idx 100 price 927247.60992931
idx 100 price 927247.60992931 -> {'actions': [], 'reason': 'hold', 'unrealized_pnl': 0.0}
idx 101 price 955065.03822719 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 278.1742829787999}
idx 102 price 983716.98937401 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 564.6937944469997}
idx 103 price 1013228.49905523 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 859.8088912591991}
idx 104 price 1043625.35402688 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 1163.7774409756996}
idx 105 price 1074934.11464769 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 1476.8650471837993}
idx 106 price 1107182.13808712 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 1799.3452815780986}
idx 107 price 1140397.60222974 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 2131.4999230042995}
idx 108 price 1174609.53029663 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 2473.6192036731995}
idx 109 price 1209847.81620553 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 2826.0020627621993}
idx 110 price 1246143.25069169 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 3188.9564076238}
idx 111 price 1283527.54821244 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 3562.7993828312997}
idx 112 price 1322033.37465882 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 3947.8576472950995}
idx 113 price 1361694.37589858 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 4344.4676596927}
idx 114 price 1402545.20717554 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 4752.9759724623}
idx 115 price 1444621.56339080 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 5173.7395346149}
idx 116 price 1487960.21029253 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 5607.1260036322}
idx 117 price 1532599.01660130 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 6053.5140667199}
idx 118 price 1578576.98709934 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 6513.2937717003}
idx 119 price 1625934.29671232 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 6986.8668678301}
idx 120 price 1674712.32561369 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 7474.6471568438}
idx 121 price 1724953.69538210 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 7977.0608545279}
idx 122 price 1776702.30624357 -> {'actions': [('partial', 0.003), ('partial', 0.003)], 'reason': 'partial_tp,partial_tp', 'unrealized_pnl': 8494.5469631426}
